k,answer,count,coverage
1,no,607,0.27049910873440286
2,yes,585,0.5311942959001783
3,axial,43,0.5503565062388592
4,right,26,0.5619429590017825
5,left,19,0.5704099821746881
6,pa,15,0.5770944741532977
7,ct,13,0.5828877005347594
8,brain,13,0.588680926916221
9,xray,11,0.5935828877005348
10,fat,9,0.5975935828877005
11,mri,8,0.6011586452762924
12,one,8,0.6047237076648841
13,right side,8,0.6082887700534759
14,with contrast,7,0.6114081996434938
15,bilateral,7,0.6145276292335116
16,diffuse,7,0.6176470588235294
17,right lung,7,0.6207664884135472
18,right upper lobe,7,0.6238859180035651
19,pancreas,6,0.6265597147950089
20,flair,6,0.6292335115864528
21,right sided pleural effusion,6,0.6319073083778967
22,56cm focal predominantly hypodense,6,0.6345811051693404
23,lateral ventricles,6,0.6372549019607843
24,left kidney,6,0.6399286987522281
25,female,6,0.642602495543672
26,contrast,5,0.6448306595365418
27,right temporal lobe,5,0.6470588235294118
28,t2 weighted,5,0.6492869875222816
29,abscess,5,0.6515151515151515
30,ribs,5,0.6537433155080213
31,air,5,0.6559714795008913
32,chest xray,5,0.6581996434937611
33,right frontal lobe,5,0.660427807486631
34,hyperintense,4,0.6622103386809269
35,mriflair,4,0.6639928698752228
36,mr flair,4,0.6657754010695187
37,calcification,4,0.6675579322638147
38,pleural effusion,4,0.6693404634581105
39,chest,4,0.6711229946524064
40,infarct,4,0.6729055258467023
41,oral and iv,4,0.6746880570409982
42,subarachnoid,4,0.6764705882352942
43,gi,4,0.67825311942959
44,right lobe of the liver,4,0.6800356506238859
45,ringenhancing lesion,4,0.6818181818181818
46,retrocardiac,4,0.6836007130124777
47,not sure,4,0.6853832442067737
48,cerebellum,4,0.6871657754010695
49,enlarged,4,0.6889483065953654
50,left side,4,0.6907308377896613
51,white matter,4,0.6925133689839572
52,ring enhancing lesion,4,0.6942959001782532
53,4th ventricle,4,0.696078431372549
54,right cerebellum,4,0.6978609625668449
55,dwi,4,0.6996434937611408
56,hemorrhage,3,0.7009803921568627
57,heterogeneous,3,0.7023172905525846
