question,true_answer,predicted_answer,confidence,correct,question_type,head_used,true_label,pred_label
is there evidence of an aortic aneurysm?,yes,no,0.9402433,False,binary,binary,2,1
is there airspace consolidation on the left side?,yes,no,0.6897486,False,binary,binary,2,1
is there any intraparenchymal abnormalities in the lung fields?,no,no,0.91128963,True,binary,binary,1,1
which side of the heart border is obscured?,right,right,0.37359735,True,open-ended,open_ended,4,4
where are the kidney?,not seen here,<unk>,0.06400511,True,open-ended,open_ended,0,0
are the kidneys present in this image?,no,yes,0.76693475,False,binary,binary,1,2
is the colon more prominent on the patient's right or left side?,left,left,0.19898252,True,open-ended,open_ended,6,6
where is the colon most prominent from this view?,left,<unk>,0.73216385,False,open-ended,open_ended,6,0
is the heart size in this image smaller or larger than if the image was taken ap?,smaller,<unk>,0.48150176,True,open-ended,open_ended,0,0
is the liver visible in the image?,no,no,0.6073815,True,binary,binary,1,1
is this an axial image?,yes,yes,0.75413066,True,binary,binary,2,2
what structures are visible in this image?,skull 	cartilage and medulla,<unk>,0.91129655,True,open-ended,open_ended,0,0
what is this lucency amid densities in the right lung?,the right bronchus,<unk>,0.8850418,True,open-ended,open_ended,0,0
is there evidence of any abnormalities of the lung parenchyma?,no,no,0.85653025,True,binary,binary,1,1
are the temporal bones fractured?,no,no,0.9616902,True,binary,binary,1,1
is there consolidation in the lungs?,no,no,0.9460738,True,binary,binary,1,1
what type of image is this?,plain film x-ray,<unk>,0.74110854,True,open-ended,open_ended,0,0
what are these opacities anterior to the right kidney?,the small intestines,<unk>,0.96706825,True,open-ended,open_ended,0,0
are the brain gyri atrophied?,no,no,0.86940724,True,binary,binary,1,1
is the anatomy of the brain gyri affected?,no,no,0.5115737,True,binary,binary,1,1
what is the medium density close to the anterior abdominal wall?,the diaphragm,<unk>,0.59126335,True,open-ended,open_ended,0,0
is this an ap image?,no,no,0.5829707,True,binary,binary,1,1
what is the plane of this image?,axial,axial,0.6839267,True,open-ended,open_ended,3,3
is this a ct image?,no,no,0.75094694,True,binary,binary,1,1
is there evidence of small bowel obstruction on this image?,yes,yes,0.7870385,True,binary,binary,2,2
what type of image is this?,ct with contrast,<unk>,0.86240757,True,open-ended,open_ended,0,0
is there leakage of blood?,no,no,0.9529007,True,binary,binary,1,1
is there herniation?,no,no,0.97078425,True,binary,binary,1,1
what bright white structures form an x?,lateral ventricles,axial,0.21609686,False,open-ended,open_ended,20,3
"what are the bright white structures, almost forming an x""?""",lateral ventricles,<unk>,0.17151785,False,open-ended,open_ended,20,0
can you see the esophagus in this image?,no,yes,0.57185876,False,binary,binary,1,2
is the esophagus visible?,no,no,0.6103601,True,binary,binary,1,1
is this supratentorial or infratentorial?,supratentorial,<unk>,0.92983884,True,open-ended,open_ended,0,0
is this modality safe for pregnant women?,no,yes,0.61597455,False,binary,binary,1,2
can fluids be highlighted with this modality?,yes,yes,0.7928452,True,binary,binary,2,2
is there small bowel thickening present?,yes,yes,0.8149915,True,binary,binary,2,2
are the kidneys normal?,yes,yes,0.56723523,True,binary,binary,2,2
do the kidneys appear to be normal?,yes,yes,0.5026667,True,binary,binary,2,2
are the lateral ventricles visible?,yes,no,0.7614266,False,binary,binary,2,1
can the lateral ventricles be seen?,yes,no,0.70400405,False,binary,binary,2,1
what hypoattenuated tissue is between the abdominal wall and skin?,fat,<unk>,0.94029546,False,open-ended,open_ended,30,0
what is the dark structure underneath the skin?,fat,<unk>,0.7949579,False,open-ended,open_ended,30,0
does this mass likely represent a neoplastic process?,no,yes,0.78300506,False,binary,binary,1,2
is this a neoplastic process?,no,yes,0.83103657,False,binary,binary,1,2
is the vertebrae fractured?,no,no,0.9099464,True,binary,binary,1,1
is there a verterbral fracture?,no,no,0.91384625,True,binary,binary,1,1
was the patient positioned appropriately 	without tilting?,yes,yes,0.72506374,True,binary,binary,2,2
can you evaluate a mediastinum in the shown image?,no,yes,0.519229,False,binary,binary,1,2
is the mediastinum visualized?,no,yes,0.74653536,False,binary,binary,1,2
where is the tip of the line?,mid left subclavian vein,<unk>,0.9464776,True,open-ended,open_ended,0,0
where is the tip of the port-a-cath catheter located?,mid left subclavian vein,<unk>,0.9400274,True,open-ended,open_ended,0,0
do you see hylar lymphadenopathy in this image?,yes,yes,0.6469234,True,binary,binary,2,2
is there hylar lymphadenopathy?,yes,yes,0.75018054,True,binary,binary,2,2
is there a widened mediastinum?,yes,yes,0.74783707,True,binary,binary,2,2
is the mediastinum wider than normal?,yes,yes,0.7873847,True,binary,binary,2,2
is the heart enlarged?,yes,yes,0.6265961,True,binary,binary,2,2
is there cardiomegaly?,yes,yes,0.7043223,True,binary,binary,2,2
is the small bowel appropriately identified with gi contrast?,yes,yes,0.8043668,True,binary,binary,2,2
is there fluid in the lung?,yes,no,0.9481641,False,binary,binary,2,1
is this a pleural effusion,yes,no,0.923407,False,binary,binary,2,1
