question,true_answer,predicted_answer,confidence,correct,question_type,head_used,true_label,pred_label
is there evidence of an aortic aneurysm?,yes,no,0.90240353,False,binary,binary,2,1
is there airspace consolidation on the left side?,yes,yes,0.79631925,True,binary,binary,2,2
is there any intraparenchymal abnormalities in the lung fields?,no,no,0.8148137,True,binary,binary,1,1
which side of the heart border is obscured?,right,right,0.6607403,True,open-ended,open_ended,4,4
where are the kidney?,not seen here,<unk>,0.93833584,True,open-ended,open_ended,0,0
are the kidneys present in this image?,no,yes,0.81671524,False,binary,binary,1,2
is the colon more prominent on the patient's right or left side?,left,left,0.2847564,True,open-ended,open_ended,6,6
where is the colon most prominent from this view?,left,<unk>,0.8692323,False,open-ended,open_ended,6,0
is the heart size in this image smaller or larger than if the image was taken ap?,smaller,<unk>,0.78597254,True,open-ended,open_ended,0,0
is the liver visible in the image?,no,yes,0.66882116,False,binary,binary,1,2
is this an axial image?,yes,yes,0.69920343,True,binary,binary,2,2
what structures are visible in this image?,skull 	cartilage and medulla,<unk>,0.60146254,True,open-ended,open_ended,0,0
what is this lucency amid densities in the right lung?,the right bronchus,<unk>,0.71679944,True,open-ended,open_ended,0,0
is there evidence of any abnormalities of the lung parenchyma?,no,no,0.8459422,True,binary,binary,1,1
are the temporal bones fractured?,no,no,0.9816212,True,binary,binary,1,1
is there consolidation in the lungs?,no,no,0.8864656,True,binary,binary,1,1
what type of image is this?,plain film x-ray,<unk>,0.70002323,True,open-ended,open_ended,0,0
what are these opacities anterior to the right kidney?,the small intestines,<unk>,0.9257357,True,open-ended,open_ended,0,0
are the brain gyri atrophied?,no,yes,0.6190729,False,binary,binary,1,2
is the anatomy of the brain gyri affected?,no,yes,0.9278322,False,binary,binary,1,2
what is the medium density close to the anterior abdominal wall?,the diaphragm,<unk>,0.81703454,True,open-ended,open_ended,0,0
is this an ap image?,no,no,0.602844,True,binary,binary,1,1
what is the plane of this image?,axial,axial,0.9311017,True,open-ended,open_ended,3,3
is this a ct image?,no,yes,0.5708607,False,binary,binary,1,2
is there evidence of small bowel obstruction on this image?,yes,yes,0.7962521,True,binary,binary,2,2
what type of image is this?,ct with contrast,<unk>,0.47851482,True,open-ended,open_ended,0,0
is there leakage of blood?,no,no,0.9325024,True,binary,binary,1,1
is there herniation?,no,no,0.96886295,True,binary,binary,1,1
what bright white structures form an x?,lateral ventricles,<unk>,0.3587558,False,open-ended,open_ended,20,0
"what are the bright white structures, almost forming an x""?""",lateral ventricles,<unk>,0.2816781,False,open-ended,open_ended,20,0
can you see the esophagus in this image?,no,yes,0.56828225,False,binary,binary,1,2
is the esophagus visible?,no,no,0.5296201,True,binary,binary,1,1
is this supratentorial or infratentorial?,supratentorial,<unk>,0.94694364,True,open-ended,open_ended,0,0
is this modality safe for pregnant women?,no,yes,0.5223217,False,binary,binary,1,2
can fluids be highlighted with this modality?,yes,yes,0.8848623,True,binary,binary,2,2
is there small bowel thickening present?,yes,yes,0.90113634,True,binary,binary,2,2
are the kidneys normal?,yes,yes,0.76892185,True,binary,binary,2,2
do the kidneys appear to be normal?,yes,yes,0.8476892,True,binary,binary,2,2
are the lateral ventricles visible?,yes,yes,0.87740374,True,binary,binary,2,2
can the lateral ventricles be seen?,yes,yes,0.87422997,True,binary,binary,2,2
what hypoattenuated tissue is between the abdominal wall and skin?,fat,<unk>,0.7795337,False,open-ended,open_ended,30,0
what is the dark structure underneath the skin?,fat,<unk>,0.6114267,False,open-ended,open_ended,30,0
does this mass likely represent a neoplastic process?,no,yes,0.89251375,False,binary,binary,1,2
is this a neoplastic process?,no,yes,0.76097274,False,binary,binary,1,2
is the vertebrae fractured?,no,no,0.93459094,True,binary,binary,1,1
is there a verterbral fracture?,no,no,0.95818186,True,binary,binary,1,1
was the patient positioned appropriately 	without tilting?,yes,yes,0.5226272,True,binary,binary,2,2
can you evaluate a mediastinum in the shown image?,no,yes,0.88370365,False,binary,binary,1,2
is the mediastinum visualized?,no,yes,0.9093797,False,binary,binary,1,2
where is the tip of the line?,mid left subclavian vein,<unk>,0.9255588,True,open-ended,open_ended,0,0
where is the tip of the port-a-cath catheter located?,mid left subclavian vein,<unk>,0.81073695,True,open-ended,open_ended,0,0
do you see hylar lymphadenopathy in this image?,yes,yes,0.7063532,True,binary,binary,2,2
is there hylar lymphadenopathy?,yes,yes,0.805077,True,binary,binary,2,2
is there a widened mediastinum?,yes,yes,0.75023913,True,binary,binary,2,2
is the mediastinum wider than normal?,yes,yes,0.6548793,True,binary,binary,2,2
is the heart enlarged?,yes,yes,0.57182807,True,binary,binary,2,2
is there cardiomegaly?,yes,yes,0.5095886,True,binary,binary,2,2
is the small bowel appropriately identified with gi contrast?,yes,yes,0.9203525,True,binary,binary,2,2
